7 15.0 1650 1000 15824 BB'
Streamlined uplands,linear,,#e79a64,39
611.0000000000649 -1549.490086357854
624.0000000000675 -1547.2343321557978
636.9999999999262 -1544.94211459515
649.9999999999288 -1541.405118600994
662.9999999999424 -1538.987499305483
675.999999999945 -1536.473806212286
688.9999999999585 -1534.9420959194283
701.9999999999611 -1534.2777875851302
714.9999999999746 -1533.3780642120462
727.9999999999773 -1532.8941910571589
740.9999999999908 -1534.0976279957738
753.9999999999934 -1534.1557099528713
767.0000000000069 -1532.5147858191403
780.0000000000095 -1530.691307985144
793.0000000000231 -1529.439785049199
806.0000000000257 -1528.573866652626
819.0000000000392 -1524.6989399440097
832.0000000000418 -1514.6371462141137
845.0000000000554 -1505.9346217292398
858.000000000058 -1503.007047833196
871.0000000000606 -1503.4176530289174
884.0000000000741 -1502.991553181967
896.9999999999219 -1502.4382377204174
909.9999999999354 -1502.1415327906907
922.999999999938 -1501.4219420221632
935.9999999999516 -1500.3715981661117
948.9999999999542 -1499.413626335061
961.9999999999677 -1498.4900444560208
974.9999999999703 -1496.2728630195747
987.9999999999839 -1494.5702964729026
1000.9999999999865 -1493.9437523999418
1014.0 -1494.0501803063175
1027.0000000000027 -1493.844148303387
1040.0000000000161 -1493.3306190510207
1053.0000000000189 -1493.001653686338
1066.0000000000323 -1492.466450563456
1079.000000000035 -1492.0202803895438
1092.0000000000484 -1491.9251233056357
1105.0000000000512 -1491.7736473899517
1118.0000000000646 -1492.0471335943016
1131.0000000000673 -1492.0774781687358
1144.0000000000807 -1491.6416775804119
1156.9999999999286 -1492.4378213248863
1169.999999999942 -1493.5970918201583
1182.9999999999447 -1494.629759106222
1195.9999999999582 -1494.860935903947
1208.999999999961 -1496.1115179571282
1221.9999999999743 -1498.0589775452327
1234.999999999977 -1500.0263435951153
1247.9999999999905 -1502.9229454516508
1260.9999999999932 -1506.285055147716
1274.0000000000066 -1510.6101301444464
1287.0000000000093 -1514.1683336416113
1300.000000000012 -1516.8769954435843
1313.0000000000255 -1521.5016422890485
1326.0000000000282 -1526.7657347069548
1339.0000000000416 -1532.2932975904303
1352.0000000000443 -1535.1900971240352
1365.0000000000578 -1538.756848796467
1378.0000000000605 -1542.8550819516847
1391.000000000074 -1545.643397206463
1403.9999999999218 -1548.195467448468
1416.9999999999352 -1548.3771262537573
1429.999999999938 -1548.3617798001974
1442.9999999999513 -1549.2187531017105
1455.999999999954 -1549.8947939649213
1468.9999999999675 -1550.180268351864
1481.9999999999702 -1550.6178632579056
1494.9999999999836 -1551.5399038556698
1507.9999999999864 -1552.3419119987568
1520.9999999999998 -1553.3049616484896
1534.0000000000025 -1554.4066779460059
1547.000000000016 -1555.2242804285777
1560.0000000000186 -1555.4977881612747
1573.000000000032 -1554.9575894392517
1586.0000000000348 -1555.4360585008587
1599.0000000000482 -1556.2997152816788
1612.000000000051 -1556.8126865740965
1625.0000000000643 -1556.9526769177369
1638.000000000067 -1557.1759231840722
1651.0000000000805 -1556.6186620812582
1663.9999999999284 -1556.1496390053637
1676.9999999999418 -1556.5381057671684
1689.9999999999445 -1557.548184662395
1702.999999999958 -1558.5760334543138
1715.9999999999607 -1558.9303533826555
1728.9999999999634 -1561.718186952715
1741.9999999999768 -1563.4608441224202
1754.9999999999795 -1565.0663065926515
1767.999999999993 -1565.7374748167224
1780.9999999999957 -1565.7887919032812
1794.000000000009 -1566.5448105417227
1807.0000000000118 -1566.9326070237119
1820.0000000000252 -1565.5085590139943
1833.000000000028 -1564.8477767356671
1846.0000000000414 -1565.5738018634213
1859.000000000044 -1566.165442036254
1872.0000000000575 -1566.5092920601805
1885.0000000000603 -1566.9134580412906
1898.0000000000737 -1567.209706435973
1910.9999999999216 -1567.5009491858416
1923.999999999935 -1567.3736158155984
1936.9999999999377 -1568.4310222296049
1949.9999999999511 -1569.6429310216104
1962.9999999999538 -1570.7740875869742
1975.9999999999673 -1573.5793842000942
1988.99999999997 -1575.9353071093717
2001.9999999999834 -1576.8500476334332
2014.9999999999861 -1578.119082279529
2027.9999999999995 -1579.866307110694
2041.0000000000023 -1581.6201860145816
2054.000000000016 -1583.7017169951985
2067.0000000000186 -1585.1907290964502
2080.0000000000323 -1587.5302108071194
2093.000000000035 -1589.8137548269654
2106.0000000000487 -1591.9997001358183
2119.0000000000514 -1592.9004352275376
2132.000000000065 -1595.8053670398438
2145.0000000000678 -1598.8770013727597
2158.0000000000705 -1601.7333767409232
2170.999999999929 -1605.7114097545812
2183.999999999932 -1608.545946829653
2196.9999999999454 -1612.0133623032834
2209.999999999948 -1615.0926904253176
2222.999999999962 -1617.9923173905934
2235.9999999999645 -1618.9556563296194
2248.999999999978 -1617.6730099101146
2261.999999999981 -1621.7041833167402
2274.9999999999945 -1627.0724823591695
2287.9999999999973 -1631.9862605955168
2301.000000000011 -1636.365564919652
2314.0000000000136 -1639.9171195978558
2327.0000000000273 -1643.2059579219588
2340.00000000003 -1646.232252399654
2353.0000000000437 -1650.2811361503943
2366.0000000000464 -1655.3178862367085
2379.00000000006 -1662.50954888382
2392.0000000000628 -1666.0593054803041
2405.0000000000764 -1669.7527362861388
2417.999999999924 -1676.782838748707
2430.9999999999377 -1683.47988405
2443.9999999999404 -1686.470907764431
2456.999999999954 -1689.755639120381
2469.999999999957 -1694.6363959536475
2482.9999999999704 -1700.334633013016
2495.999999999973 -1705.6196711503108
2508.999999999987 -1710.9248788376215
2521.9999999999895 -1715.4318705234068
2535.000000000003 -1719.0706289067207
2548.000000000006 -1722.0245726125393
2561.0000000000196 -1726.0023142239704
2574.0000000000223 -1731.9344075203542
2587.000000000025 -1738.4054456937567
2600.0000000000387 -1743.3816566362814
2613.0000000000414 -1748.1402392023072
2626.000000000055 -1754.4976253609204
2639.0000000000578 -1759.9006326435237
2652.0000000000714 -1764.8885358474136
2665.000000000074 -1765.0264524266602
2677.9999999999327 -1771.8208879992962
2690.9999999999354 -1778.6655855608467
2703.999999999949 -1775.4284853897398
2716.999999999952 -1775.2998030868687
2729.9999999999654 -1777.5946155673357
2742.999999999968 -1780.1361640541722
2755.999999999982 -1782.6511320591515
2768.9999999999845 -1784.568764596244
2781.999999999998 -1787.0190563334997
2795.000000000001 -1788.7892055436973
2808.0000000000146 -1789.6138321641902
2821.0000000000173 -1790.3483017903332
2834.000000000031 -1791.0880845043423
2847.0000000000337 -1791.6690829103902
2860.0000000000473 -1793.0548467796757
2873.00000000005 -1795.7128423504353
2886.0000000000637 -1799.7938224553723
2899.0000000000664 -1802.6987382073642
2912.00000000008 -1804.007796544758
2924.9999999999277 -1808.185688358156
2937.9999999999413 -1804.2376171800895
2950.999999999944 -1803.8732619936316
2963.9999999999577 -1804.5452469479712
2976.9999999999604 -1805.5319177158408
2989.999999999974 -1807.289704141133
3002.999999999977 -1809.925395339824
3015.9999999999795 -1813.2944143017803
3028.999999999993 -1816.917810152419
3041.999999999996 -1820.2549396149732
3055.0000000000095 -1822.6956157712941
3068.0000000000123 -1824.7057822341794
3081.000000000026 -1825.866422045358
3094.0000000000286 -1825.738642313871
3107.0000000000423 -1828.1738374666722
3120.000000000045 -1830.7579015462143
3133.0000000000587 -1834.428500617615
3146.0000000000614 -1836.8253299851342
3159.000000000075 -1839.0107570824355
3172.0000000000778 -1839.9793947607734
3184.9999999999363 -1838.9331181772448
3197.999999999939 -1838.653986549386
3210.9999999999527 -1839.0842039019178
3223.9999999999554 -1840.2600053757055
3236.999999999969 -1841.553612648251
3249.999999999972 -1842.8391904514244
3262.9999999999854 -1844.632960551033
3275.999999999988 -1847.0532067576378
3289.000000000002 -1848.9383087868543
3302.0000000000045 -1849.8587283284824
3315.000000000018 -1851.2052317057592
3328.000000000021 -1852.625384042898
3341.0000000000346 -1853.879157500956
3354.0000000000373 -1855.5488531979522
3367.000000000051 -1858.6740099579483
3380.0000000000537 -1859.7577572791238
3393.0000000000673 -1861.7629796415513
3406.00000000007 -1863.9498560653938
3419.0000000000837 -1865.7364337336826
3432.0000000000864 -1867.4053427195715
3444.999999999934 -1869.7877366681757
3457.9999999999477 -1872.4227707405332
3470.9999999999504 -1874.9558123993636
3483.999999999964 -1877.6980170018521
3496.999999999967 -1877.4964569323758
3509.9999999999804 -1878.310918805684
3522.999999999983 -1880.1943832004604
3535.999999999997 -1882.2865000154668
3548.9999999999995 -1884.3402896377104
3562.000000000013 -1885.3972795554748
3575.000000000016 -1886.8346924477198
3588.0000000000296 -1888.9508025095479
